File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 10 1593954142 0.222222
Rate(Hz) 20 1593954171 0.344828
Rate(Hz) 30 1593954200 0.344828
Rate(Hz) 40 1593954223 0.434783
Rate(Hz) 50 1593954247 0.416667
Rate(Hz) 60 1593954271 0.416667
Rate(Hz) 70 1593954302 0.322581
Rate(Hz) 80 1593954323 0.47619
Rate(Hz) 90 1593954357 0.294118
Rate(Hz) 100 1593954376 0.526316
Rate(Hz) 110 1593954405 0.344828
Rate(Hz) 120 1593954420 0.666667
Rate(Hz) 130 1593954438 0.555556
Rate(Hz) 140 1593954459 0.47619
Rate(Hz) 150 1593954468 1.11111
Rate(Hz) 160 1593954502 0.294118
Rate(Hz) 170 1593954522 0.5
Rate(Hz) 180 1593954560 0.263158
Rate(Hz) 190 1593954578 0.555556
Rate(Hz) 200 1593954597 0.526316
Rate(Hz) 210 1593954619 0.454545
Rate(Hz) 220 1593954647 0.357143
Rate(Hz) 230 1593954674 0.37037
Rate(Hz) 240 1593954693 0.526316
Rate(Hz) 250 1593954715 0.454545
Rate(Hz) 260 1593954749 0.294118
Rate(Hz) 270 1593954765 0.625
Rate(Hz) 280 1593954794 0.344828
Rate(Hz) 290 1593954817 0.434783
Rate(Hz) 300 1593954843 0.384615
Rate(Hz) 310 1593954868 0.4
Rate(Hz) 320 1593954898 0.333333
Rate(Hz) 330 1593954926 0.357143
Rate(Hz) 340 1593954944 0.555556
Rate(Hz) 350 1593954994 0.2
Rate(Hz) 360 1593955022 0.357143
Rate(Hz) 370 1593955053 0.322581
Rate(Hz) 380 1593955071 0.555556
Rate(Hz) 390 1593955104 0.30303
Rate(Hz) 400 1593955129 0.4
Rate(Hz) 410 1593955149 0.5
Rate(Hz) 420 1593955172 0.434783
Rate(Hz) 430 1593955219 0.212766
Rate(Hz) 440 1593955243 0.416667
Rate(Hz) 450 1593955272 0.344828
Rate(Hz) 460 1593955298 0.384615
Rate(Hz) 470 1593955325 0.37037
Rate(Hz) 480 1593955360 0.285714
Rate(Hz) 490 1593955360 inf
Rate(Hz) 500 1593955360 inf
Rate(Hz) 510 1593955360 inf
Rate(Hz) 520 1593955360 inf
Rate(Hz) 530 1593955360 inf
Rate(Hz) 540 1593955360 inf
Rate(Hz) 550 1593955360 inf
Rate(Hz) 560 1593955360 inf
Rate(Hz) 570 1593955360 inf
Rate(Hz) 580 1593955361 10
Rate(Hz) 590 1593955361 inf
Rate(Hz) 600 1593955361 inf
Rate(Hz) 610 1593955361 inf
Rate(Hz) 620 1593955361 inf
Rate(Hz) 630 1593955361 inf
Rate(Hz) 640 1593955361 inf
Rate(Hz) 650 1593955361 inf
Rate(Hz) 660 1593955361 inf
Rate(Hz) 670 1593955361 inf
Rate(Hz) 680 1593955361 inf
Rate(Hz) 690 1593955361 inf
Rate(Hz) 700 1593955361 inf
Rate(Hz) 710 1593955361 inf
Rate(Hz) 720 1593955361 inf
Rate(Hz) 730 1593955362 10
Rate(Hz) 740 1593955362 inf
Rate(Hz) 750 1593955362 inf
Rate(Hz) 760 1593955362 inf
Rate(Hz) 770 1593955362 inf
Rate(Hz) 780 1593955362 inf
Rate(Hz) 790 1593955362 inf
Rate(Hz) 800 1593955362 inf
Rate(Hz) 810 1593955362 inf
Rate(Hz) 820 1593955362 inf
Rate(Hz) 830 1593955362 inf
Rate(Hz) 840 1593955362 inf
Rate(Hz) 850 1593955362 inf
Rate(Hz) 860 1593955362 inf
Rate(Hz) 870 1593955362 inf
Rate(Hz) 880 1593955363 10
Rate(Hz) 890 1593955363 inf
Rate(Hz) 900 1593955363 inf
